time,COUNT,url,num_Objects,isJS_Num_Same,isJS_Object_Same,Difference_Count,Different_Files,Difference
2024-03-31 17:11:50,2,https://www.amazon.com.tr,18,NO,NO,242," , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonUIjQuery , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , AmazonGatewayAuiAssets , PRIVCONAssets-body , PRIVCONAssets-body , PRIVCONAssets-body , PRIVCONAssets-body , PRIVCONAssets-body , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , AmazonGatewayHerotatorJS , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets , FWCIMAssets",The difference is very large
2024-03-31 17:17:21,3,https://www.amazon.com.tr,18,YES,Yes,0,,No differences found.
2024-03-31 17:22:48,4,https://www.amazon.com.tr,18,YES,Yes,0,,No differences found.
2024-03-31 17:06:46,1,https://www.bbc.co.uk,42,NO,Yes,0,,No differences found.
2024-03-31 17:12:56,2,https://www.bbc.co.uk,43,NO,NO,3," , gpt.js , door.js?d=www.bbc.com&t=homestudio , door.js?d=www.bbc.com&t=homestudio",The difference is very large
2024-03-31 17:18:42,3,https://www.bbc.co.uk,35,NO,NO,3," , gpt.js , door.js?d=www.bbc.com&t=homestudio , door.js?d=www.bbc.com&t=homestudio",The difference is very large
2024-03-31 17:24:52,4,https://www.bbc.co.uk,43,NO,NO,3," , gpt.js , door.js?d=www.bbc.com&t=homestudio , door.js?d=www.bbc.com&t=homestudio",The difference is very large
2024-03-31 17:31:03,1,https://www.bloomberg.com,79,NO,Yes,0,,No differences found.
2024-03-31 17:39:34,2,https://www.bloomberg.com,74,NO,NO,9," , jz7xmlnipo?ref=gtm , destination?id=DC-10986066&l=dataLayer&cx=c , destination?id=AW-1063184170&l=dataLayer&cx=c , destination?id=AW-1063184170&l=dataLayer&cx=c , js?id=G-GQ1PBLXZCT&l=dataLayer&cx=c , js?id=G-GQ1PBLXZCT&l=dataLayer&cx=c , gtm.js?id=GTM-MNTH5N , gtm.js?id=GTM-MNTH5N , gpt.js",The difference is very large
2024-03-31 17:49:05,3,https://www.bloomberg.com,74,YES,NO,9," , jz7xmlnipo?ref=gtm , destination?id=DC-10986066&l=dataLayer&cx=c , destination?id=AW-1063184170&l=dataLayer&cx=c , destination?id=AW-1063184170&l=dataLayer&cx=c , js?id=G-GQ1PBLXZCT&l=dataLayer&cx=c , js?id=G-GQ1PBLXZCT&l=dataLayer&cx=c , gtm.js?id=GTM-MNTH5N , gtm.js?id=GTM-MNTH5N , gpt.js",The difference is very large
